#ZVView-data-copy:  14-Jul-2026 14:26:49
#=======================================
#
#name:   ENDF/B-VII.1: AR-40(N,TOT)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  51296
#data...
#            X            Y
#          MeV        barns
         1e-11      39.0588 
   1.10304e-11      37.1928 
   1.21669e-11      35.4162 
   1.34206e-11      33.7248 
   1.48034e-11      32.1145 
   1.63287e-11      30.5814 
   1.80111e-11      29.1218 
   1.98669e-11      27.7323 
   2.19139e-11      26.4095 
   2.41719e-11      25.1502 
   2.66625e-11      23.9513 
   2.94097e-11      22.8101 
     3.244e-11      21.7237 
   3.57825e-11      20.6895 
   3.94694e-11      19.7051 
   4.35362e-11       18.768 
   4.80221e-11      17.8761 
   5.29701e-11      17.0278 
   5.33438e-11      16.9713 
    5.8428e-11      16.2203 
   5.92523e-11      16.1128 
   6.44483e-11      15.4517 
   6.58185e-11      15.2978 
   7.10888e-11      14.7201 
   7.31088e-11      14.5247 
   7.84136e-11      14.0237 
   8.12106e-11      13.7907 
   8.64931e-11      13.3609 
   9.02058e-11      13.0946 
   9.54051e-11      12.7302 
   1.00202e-10      12.4338 
   1.05235e-10        12.13 
   1.11301e-10      11.8073 
   1.16078e-10      11.5589 
   1.23635e-10      11.2127 
   1.28039e-10      11.0155 
   1.37329e-10       10.649 
   1.41231e-10      10.4984 
   1.52548e-10      10.1141 
   1.55784e-10      10.0066 
   1.69445e-10      9.60714 
   1.71835e-10      9.53876 
   1.88222e-10      9.12624 
    1.8954e-10      9.09377 
    2.0907e-10      8.67057 
   2.30612e-10      8.26878 
   2.32239e-10      8.24202 
   2.54374e-10      7.88697 
   2.59782e-10      7.81052 
   2.80584e-10      7.52379 
   2.90592e-10      7.40229 
   3.09494e-10      7.17841 
   3.25056e-10      7.01616 
   3.41383e-10         6.85 
   3.63607e-10      6.65104 
   3.76558e-10      6.53779 
    4.0673e-10      6.30585 
   4.15358e-10      6.24103 
   4.54968e-10      5.97959 
   4.58155e-10      5.95904 
   5.05362e-10      5.69171 
   5.12492e-10      5.65619 
   5.57433e-10        5.438 
   5.77316e-10      5.35314 
   6.14869e-10      5.19681 
   6.50309e-10      5.06724 
   6.78223e-10      4.96767 
   7.37698e-10      4.78153 
   7.48105e-10      4.74973 
   8.25188e-10      4.54332 
    8.3683e-10      4.51593 
   9.10213e-10      4.34787 
   9.55979e-10      4.25592 
      1.004e-9      4.16188 
    1.09204e-9      4.01084 
    1.10745e-9      3.98504 
    1.22155e-9      3.81788 
    1.25627e-9      3.77331 
    1.34742e-9      3.65934 
    1.45538e-9      3.54122 
    1.48625e-9      3.50828 
    1.63939e-9      3.36554 
    1.69787e-9      3.31783 
    1.80831e-9      3.23014 
    1.99463e-9      3.10093 
     2.0087e-9      3.09239 
    2.20016e-9      2.97947 
    2.39309e-9      2.88011 
    2.42685e-9      2.86316 
    2.67691e-9      2.75377 
     2.8914e-9      2.67189 
    2.95273e-9      2.64908 
    3.25697e-9      2.55056 
    3.56757e-9      2.46289 
    3.59256e-9      2.45601 
    3.96272e-9      2.36744 
    4.37103e-9      2.28239 
    4.49523e-9      2.25984 
    4.82141e-9      2.20224 
    5.31819e-9      2.12598 
    5.82536e-9      2.05823 
    5.86616e-9      2.05291 
    6.47059e-9      1.98459 
     7.1373e-9      1.91911 
    7.81795e-9        1.861 
    7.87271e-9      1.85644 
    8.68389e-9      1.79788 
    9.57865e-9      1.74183 
    1.05656e-8      1.68814 
    1.10191e-8      1.66669 
    1.16543e-8      1.63746 
    1.28551e-8      1.58958 
    1.41796e-8      1.54379 
    1.56406e-8      1.49997 
    1.66588e-8      1.47346 
    1.72522e-8      1.45838 
    1.90298e-8      1.41928 
    2.09906e-8      1.38194 
    2.31534e-8      1.34625 
    2.52419e-8       1.3161 
       2.53e-8      1.31532 
    2.79068e-8      1.28333 
    3.07823e-8      1.25278 
     3.3954e-8       1.2236 
    3.74525e-8      1.19573 
    4.13115e-8      1.16911 
    4.55681e-8      1.14368 
    4.88745e-8      1.12657 
    5.02633e-8      1.11957 
    5.54423e-8        1.097 
    6.11549e-8      1.07548 
    6.74561e-8      1.05493 
    7.44066e-8      1.03534 
    8.20732e-8      1.01666 
    9.05297e-8     0.998857 
    9.98577e-8     0.981885 
    1.10147e-7     0.965668 
    1.21496e-7     0.950146 
     1.3215e-7     0.937512 
    1.34014e-7     0.935358 
    1.47823e-7     0.921585 
    1.63054e-7     0.908474 
    1.79855e-7      0.89601 
    1.98386e-7     0.884167 
    2.18827e-7     0.872856 
    2.41375e-7     0.862052 
    2.66245e-7     0.851759 
    2.93678e-7     0.841955 
    3.23938e-7     0.832615 
    3.57316e-7     0.823718 
    3.94132e-7     0.815266 
    4.37809e-7     0.806653 
     4.8292e-7     0.798962 
    5.32679e-7     0.791627 
    5.87564e-7     0.784633 
    6.48105e-7      0.77796 
    7.14884e-7     0.771593 
    7.88543e-7     0.765552 
    8.75885e-7     0.759349 
    9.66133e-7     0.753807 
    1.03624e-6     0.750075 
    1.06568e-6     0.748553 
    1.17549e-6      0.74365 
     1.2966e-6      0.73898 
     1.4302e-6      0.73453 
    1.57757e-6      0.73029 
    1.72801e-6     0.726557 
    1.90606e-6     0.722692 
    2.10245e-6     0.719002 
    2.31908e-6      0.71548 
    2.55803e-6     0.712122 
    2.82161e-6      0.70892 
    3.11233e-6     0.705864 
    3.40897e-6     0.703166 
    3.78675e-6     0.700177 
    4.14767e-6     0.697698 
     4.5432e-6     0.695317 
    5.01132e-6     0.692855 
    5.52767e-6     0.690508 
    6.09723e-6     0.688253 
    6.72547e-6     0.686098 
     7.4704e-6     0.683884 
    8.24013e-6     0.681899 
    8.96272e-6     0.680253 
    9.81744e-6     0.678524 
     1.0829e-5     0.676724 
    1.19448e-5     0.674986 
    1.31755e-5     0.673304 
    1.48414e-5     0.671328 
    1.63706e-5     0.669747 
    1.78062e-5     0.668417 
    1.93676e-5      0.66711 
    2.12146e-5     0.665709 
    2.32366e-5     0.664335 
    2.54525e-5     0.662968 
    2.74905e-5     0.661834 
    2.99012e-5      0.66058 
    3.25233e-5     0.659328 
    3.53753e-5     0.658074 
    3.84775e-5      0.65681 
    4.15605e-5     0.655636 
    4.55217e-5     0.654226 
    4.98628e-5     0.652792 
    5.42353e-5     0.651438 
    5.94045e-5     0.649924 
    6.50696e-5     0.648361 
    7.07757e-5     0.646864 
    7.64429e-5     0.645441 
    8.19895e-5       0.6441 
    8.79387e-5     0.642708 
    9.49848e-5     0.641111 
   0.000103314     0.639287 
   0.000112374     0.637362 
   0.000118851     0.636026 
   0.000119684     0.635884 
   0.000129273     0.634284 
   0.000140609     0.632451 
   0.000151868     0.630678 
   0.000162888      0.62898 
   0.000174707     0.627195 
    0.00018608     0.625506 
   0.000198184     0.623735 
   0.000212564     0.621662 
   0.000227988     0.619472 
   0.000244531     0.617153 
   0.000262274     0.614697 
   0.000271629     0.613415 
   0.000279347      0.61258 
   0.000301716     0.610189 
   0.000323608     0.607879 
   0.000344675     0.605678 
   0.000367095     0.603357 
   0.000388253     0.601184 
   0.000410632     0.598902 
     0.0004343     0.596503 
   0.000456137     0.594302 
   0.000479048     0.592524 
   0.000503136     0.590666 
   0.000532136     0.588441 
   0.000562807     0.586103 
   0.000594204     0.583721 
   0.000627366     0.581218 
   0.000662825     0.578552 
    0.00068166     0.577142 
   0.000700056     0.576096 
   0.000734212     0.574163 
   0.000771129     0.572081 
   0.000815576     0.569585 
    0.00085934     0.567137 
   0.000902504      0.56473 
   0.000945271     0.562351 
   0.000965322     0.561239 
   0.000985846     0.560385 
    0.00103537     0.558332 
    0.00107981     0.556495 
    0.00111713     0.554955 
     0.0011601     0.553186 
    0.00120307     0.551419 
    0.00125471     0.549301 
    0.00129803     0.547526 
    0.00132562     0.546397 
    0.00134433     0.545831 
    0.00139433     0.544319 
    0.00146436     0.542205 
    0.00152722     0.540312 
    0.00159277      0.53834 
    0.00166114     0.536287 
    0.00173069     0.534202 
    0.00179194     0.532367 
    0.00180459     0.532088 
    0.00188205     0.530379 
    0.00197645     0.528299 
    0.00206129     0.526433 
    0.00214831     0.524521 
    0.00223424     0.522634 
    0.00232017      0.52075 
     0.0024061     0.518866 
    0.00249204      0.51747 
    0.00257797     0.516075 
    0.00266979     0.514586 
    0.00276909     0.512976 
    0.00288795      0.51105 
    0.00300762     0.509113 
    0.00311475      0.50738 
    0.00324255     0.505313 
    0.00337483     0.503701 
    0.00352321     0.501894 
    0.00363443     0.500541 
    0.00378101     0.498757 
    0.00394331     0.496784 
    0.00411257     0.494726 
     0.0042891     0.492581 
    0.00443716     0.490782 
    0.00446846     0.490485 
    0.00464032     0.488856 
    0.00481218     0.487228 
    0.00501896     0.485269 
    0.00519203      0.48363 
    0.00540294     0.481632 
    0.00569553     0.478862 
    0.00596731      0.47629 
    0.00622345     0.473866 
    0.00626735     0.473451 
    0.00653081     0.471382 
    0.00687454     0.468684 
    0.00721826     0.465986 
    0.00756199     0.463289 
    0.00794183     0.460308 
    0.00830723     0.457441 
     0.0087144     0.454247 
    0.00921561     0.450315 
     0.0095172     0.447949 
    0.00962434     0.447185 
    0.00996807     0.444735 
     0.0102396       0.4428 
     0.0103249     0.442192 
     0.0104706     0.441154 
     0.0105809     0.440369 
     0.0106662     0.439761 
     0.0107089     0.439458 
     0.0107515     0.439155 
     0.0108049     0.438776 
     0.0108369     0.438549 
     0.0108582     0.438398 
     0.0108795     0.438247 
     0.0109009     0.438097 
     0.0109271     0.437912 
     0.0109416      0.43781 
     0.0109562     0.437708 
     0.0109691     0.437618 
     0.0109812     0.437534 
     0.0109934     0.437451 
     0.0110015     0.437395 
     0.0110095      0.43734 
     0.0110176     0.437286 
     0.0110257     0.437232 
     0.0110335      0.43718 
     0.0110412     0.437129 
     0.0110471     0.437092 
     0.0110529     0.437055 
     0.0110585      0.43702 
     0.0110636     0.436989 
     0.0110687     0.436958 
     0.0110738     0.436928 
     0.0110772     0.436909 
     0.0110806      0.43689 
     0.0110841     0.436872 
     0.0110873     0.436856 
     0.0110905      0.43684 
     0.0110937     0.436825 
     0.0110969     0.436812 
     0.0111001     0.436799 
      0.011101     0.436795 
     0.0111033     0.436843 
     0.0111057     0.436894 
     0.0111081     0.436946 
     0.0111107     0.437004 
     0.0111136     0.437071 
     0.0111156     0.437118 
     0.0111176     0.437165 
     0.0111196     0.437214 
     0.0111215     0.437264 
     0.0111235     0.437316 
     0.0111255      0.43737 
     0.0111276      0.43743 
     0.0111291     0.437473 
     0.0111305     0.437516 
     0.0111319     0.437562 
     0.0111333     0.437609 
     0.0111348     0.437659 
     0.0111362     0.437711 
     0.0111375     0.437761 
     0.0111387     0.437808 
     0.0111398     0.437858 
      0.011141     0.437911 
      0.011142     0.437956 
     0.0111422     0.437988 
     0.0111434     0.438173 
     0.0111445     0.438361 
     0.0111457     0.438553 
     0.0111467     0.438728 
     0.0111477     0.438885 
     0.0111486     0.439046 
     0.0111495     0.439211 
     0.0111504     0.439381 
     0.0111513     0.439557 
     0.0111522      0.43974 
     0.0111531      0.43993 
     0.0111539       0.4401 
     0.0111543     0.440203 
     0.0111545      0.44029 
     0.0111552     0.440585 
     0.0111558     0.440887 
     0.0111565     0.441196 
     0.0111571     0.441513 
     0.0111578     0.441839 
     0.0111584     0.442176 
      0.011159     0.442506 
     0.0111596     0.442831 
     0.0111598     0.442924 
     0.0111602     0.443348 
     0.0111608      0.44395 
     0.0111614      0.44457 
     0.0111618     0.445048 
     0.0111622     0.445541 
     0.0111627     0.446052 
     0.0111631     0.446584 
     0.0111635      0.44708 
     0.0111635     0.447108 
     0.0111638     0.447868 
     0.0111642     0.448653 
     0.0111645     0.449468 
     0.0111647     0.450032 
     0.0111649     0.450616 
     0.0111651     0.451224 
     0.0111652     0.451366 
     0.0111654     0.452178 
     0.0111656     0.453256 
     0.0111658     0.454374 
      0.011166     0.455241 
     0.0111661     0.456138 
     0.0111663     0.457069 
     0.0111663     0.457271 
     0.0111665     0.458418 
     0.0111666     0.459913 
     0.0111668     0.461456 
     0.0111669     0.462933 
     0.0111671     0.464215 
     0.0111671     0.464383 
     0.0111672     0.465951 
     0.0111673     0.467792 
     0.0111674     0.469682 
     0.0111676     0.471625 
     0.0111676     0.472643 
     0.0111677     0.473941 
     0.0111678     0.476638 
      0.011168     0.479408 
     0.0111681     0.482253 
     0.0111682     0.484859 
     0.0111682     0.485268 
     0.0111683     0.489031 
     0.0111685     0.492896 
     0.0111686     0.496112 
     0.0111686     0.497016 
     0.0111687       0.5019 
     0.0111688     0.506905 
     0.0111689     0.510665 
      0.011169     0.512324 
     0.0111691     0.518623 
     0.0111692     0.525086 
     0.0111693     0.529402 
     0.0111694     0.532159 
     0.0111695     0.540242 
     0.0111696     0.548525 
     0.0111697      0.55338 
     0.0111697     0.556127 
     0.0111698     0.564545 
     0.0111699     0.567727 
     0.0111699     0.573799 
     0.0111701     0.583632 
     0.0111702     0.593673 
     0.0111702     0.597084 
     0.0111703     0.604801 
     0.0111703     0.612648 
     0.0111704     0.623331 
     0.0111705     0.629242 
     0.0111706     0.647449 
     0.0111707      0.65368 
     0.0111708     0.667435 
     0.0111709     0.688616 
     0.0111711      0.71254 
